from	to	score
ASPA	ACY1	922
ASPA	CAD	900
ASPA	NAT8L	928
ASPM	CIT	963
ASPM	NCAPG2	910
ASPM	STIL	976
ASPM	WDR62	969
ASXL1	BAP1	999
ASXL1	PCGF2	913
ASXL1	UBAP2L	900
ASXL2	BAP1	998
ASXL3	BAP1	967
ATAD1	ALDH3A2	913
ATAD1	PEX11B	930
ATAD1	PEX12	932
ATAD1	PEX14	951
ATAD1	PEX2	923
ATG7	CAMK2A	904
ATG7	CAMK2B	904
ATG7	SQSTM1	931
ATG7	UBA5	947
ATIC	ADSL	999
ATIC	AMPD1	970
ATIC	AMPD2	918
ATIC	CANT1	903
ATIC	DHFR	982
ATIC	ENTPD1	925
ATIC	HPRT1	958
ATIC	IMPDH1	955
ATIC	IMPDH2	973
ATIC	ITPA	970
ATIC	MTR	964
ATIC	NT5C2	910
ATIC	SHMT2	995
ATL1	REEP1	966
ATL1	SPAST	993
ATM	BRCA2	996
ATM	CHEK2	999
ATM	CTBP1	924
ATM	DNA2	975
ATM	ERCC4	969
ATM	ERCC5	962
ATM	EYA1	914
ATM	IKBKG	999
ATM	KDM1A	932
ATM	LIG4	993
ATM	MRE11	999
ATM	PEX5	989
ATM	PHF21A	914
ATM	POLD1	955
ATM	POLE	972
ATM	RAD50	996
ATM	RTEL1	948
ATM	SMC1A	971
ATM	SMC3	976
ATM	TTI1	902
ATM	VAMP2	968
ATM	XPA	915
ATM	XPC	959
ATP13A2	PARK7	900
ATP5F1A	ATPAF2	948
ATP5F1A	BCS1L	944
ATP5F1A	COX4I1	924
ATP5F1A	TOMM40	905
ATP5F1D	ATP5F1A	999
ATP5F1D	ATP5F1E	999
ATP5F1D	ATP5MC3	990
ATP5F1D	ATP5PO	999
ATP5F1D	COX4I1	989
ATP5F1D	COX5A	981
ATP5F1D	COX6A2	975
ATP5F1D	COX6B1	911
ATP5F1D	MDH2	931
ATP5F1D	MT-ATP6	999
ATP5F1D	MT-ATP8	997
ATP5F1D	NDUFA10	970
ATP5F1D	NDUFA12	986
ATP5F1D	NDUFA13	948
ATP5F1D	NDUFA2	924
ATP5F1D	NDUFA6	928
ATP5F1D	NDUFA8	959
ATP5F1D	NDUFB10	973
ATP5F1D	NDUFB11	947
ATP5F1D	NDUFB8	960
ATP5F1D	NDUFB9	989
ATP5F1D	NDUFC2	915
ATP5F1D	NDUFS2	994
ATP5F1D	NDUFS3	979
ATP5F1D	NDUFS4	941
ATP5F1D	NDUFS6	987
ATP5F1D	NDUFS7	994
ATP5F1D	NDUFS8	986
ATP5F1D	NDUFV1	965
ATP5F1D	NDUFV2	995
ATP5F1D	PMPCB	946
ATP5F1D	SDHB	920
ATP5F1D	SUCLG1	940
ATP5F1D	UQCRFS1	976
ATP5F1D	UQCRQ	957
ATP5F1D	VMA12	907
ATP5F1E	ATP5F1A	999
ATP5F1E	ATP5MC3	967
ATP5F1E	ATP5PO	997
ATP5F1E	MT-ATP6	991
ATP5F1E	MT-ATP8	991
ATP5F1E	NDUFA1	909
ATP5F1E	NDUFA2	985
ATP5F1E	NDUFA6	966
ATP5F1E	NDUFS4	943
ATP5F1E	NDUFS6	931
ATP5F1E	UQCRQ	982
ATP5F1E	VMA12	906
ATP5MC3	ATP5F1A	995
ATP5MC3	ATP5PO	985
ATP5MC3	COX5A	947
ATP5MC3	MT-ATP6	989
ATP5MC3	MT-ATP8	962
ATP5MC3	UQCRFS1	946
ATP5MC3	UQCRQ	928
ATP5PO	ATP5F1A	999
ATP5PO	COX5A	951
ATP5PO	MT-ATP6	996
ATP5PO	MT-ATP8	987
ATP5PO	NDUFA6	948
ATP5PO	NDUFA8	927
ATP5PO	NDUFS4	987
ATP5PO	NDUFV2	904
ATP5PO	UQCRFS1	959
ATP5PO	UQCRQ	950
ATP5PO	VMA12	904
ATP6AP1	ATP6AP2	999
ATP6V0A1	ATP6AP1	992
ATP6V0A1	ATP6AP2	981
ATP6V0A1	ATP6V1A	997
ATP6V0A1	ATP6V1B2	998
ATP6V0A1	VMA12	924
ATP6V0A2	ATP6AP1	984
