from_gene	to_gene	combined_score
NPHP3	OFD1	547
RAPSN	DOK7	913
GMPPB	DOK7	518
KRAS	ARID1B	508
SMARCB1	ARID1B	998
SMARCC2	ARID1B	998
POGZ	ARID1B	573
ARID1A	ARID1B	988
SMARCE1	ARID1B	997
ARID2	ARID1B	529
CRX	IMPDH1	702
TULP1	IMPDH1	704
KCNJ13	IMPDH1	469
GUCY2D	IMPDH1	675
RPE65	IMPDH1	653
POLR1A	IMPDH1	650
IQCB1	IMPDH1	570
LRAT	IMPDH1	681
KRAS	PLCH1	419
RAB11B	TBC1D20	415
CEP41	KIAA0586	466
B9D2	KIAA0586	441
TMEM231	KIAA0586	492
IFT172	KIAA0586	603
B9D1	KIAA0586	518
KATNIP	KIAA0586	433
CSPP1	KIAA0586	718
EVC	KIAA0586	520
TMEM138	KIAA0586	528
CEP164	KIAA0586	568
CEP120	KIAA0586	903
TCTN2	KIAA0586	529
IFT80	KIAA0586	543
NPHP1	KIAA0586	459
WDR35	KIAA0586	509
C2CD3	KIAA0586	823
EVC2	KIAA0586	509
OFD1	KIAA0586	686
PIGU	PGAP1	964
PGAP2	PGAP1	762
B9D1	WLS	627
FKTN	LARGE1	751
RXYLT1	LARGE1	662
POMT2	LARGE1	750
GMPPB	LARGE1	470
B4GAT1	LARGE1	938
FKRP	LARGE1	760
POMK	LARGE1	691
POMGNT2	LARGE1	615
ALX4	OPHN1	438
LAMB1	RAC1	901
EXOC2	RAC1	943
RAP1B	RAC1	492
KRAS	RAC1	940
PDE6D	RAC1	403
OPHN1	RAC1	718
TUBB2B	DYNC1H1	979
TUBA1A	DYNC1H1	978
TUBB3	DYNC1H1	875
TUBB	DYNC1H1	868
TUBB4B	DYNC1H1	834
TAF4	ATN1	524
ITPR1	ATN1	656
PACS1	ATN1	449
RERE	ATN1	510
THOC2	HNRNPH1	637
TAF4	HNRNPH1	523
DYNC1H1	BICD2	989
LNPK	FRMD4A	420
ATP9A	FRMD4A	485
PIGU	PIGN	460
PGAP2	PIGN	784
PGAP1	PIGN	776
B9D2	TXNDC15	450
DPH1	TXNDC15	620
PIGN	TXNDC15	487
TBC1D24	RAB3GAP2	422
FKRP	RAB3GAP2	407
TBC1D20	RAB3GAP2	748
DYNC1H1	RAB3GAP2	917
BICD2	RAB3GAP2	912
TAF4	TRRAP	982
SMARCB1	TRRAP	456
